model,eval_size,metric_value
"Custom GNN (5L, 32D) (+Virtual Node)",20,13.049417918371775
"Custom GNN (5L, 32D) (+Virtual Node)",40,20.41440459460747
"Custom GNN (5L, 32D) (+Virtual Node)",80,35.954103029353135
"Custom GNN (5L, 32D) (+Virtual Node)",120,45.94997032648933
Champion dry-cherry-25 (+Virtual Node),20,1.3462811146085225
Champion dry-cherry-25 (+Virtual Node),40,5.141622163105787
Champion dry-cherry-25 (+Virtual Node),80,16.833208811567644
Champion dry-cherry-25 (+Virtual Node),120,27.243198712982093
