Epoch   1/100 | Loss: 390.0659 | Early Stop Count: 0/10
Epoch   5/100 | Loss: 237.9399 | Early Stop Count: 0/10
Epoch  10/100 | Loss: 223.5378 | Early Stop Count: 0/10
Epoch  15/100 | Loss: 222.0113 | Early Stop Count: 1/10
Epoch  20/100 | Loss: 220.7235 | Early Stop Count: 0/10
Epoch  25/100 | Loss: 221.1222 | Early Stop Count: 5/10
Epoch  30/100 | Loss: 217.5788 | Early Stop Count: 2/10
Epoch  35/100 | Loss: 217.1134 | Early Stop Count: 3/10
Epoch  40/100 | Loss: 217.1014 | Early Stop Count: 8/10
[INFO] Converged! Early stopping triggered at epoch 42.
