Epoch   1/100 | Loss: 12603.6862 | Early Stop Count: 0/10
Epoch   5/100 | Loss: 19.5123 | Early Stop Count: 0/10
Epoch  10/100 | Loss: 17.7770 | Early Stop Count: 1/10
Epoch  15/100 | Loss: 20.8243 | Early Stop Count: 4/10
Epoch  20/100 | Loss: 20.1936 | Early Stop Count: 2/10
Epoch  25/100 | Loss: 17.5684 | Early Stop Count: 1/10
Epoch  30/100 | Loss: 16.1517 | Early Stop Count: 0/10
Epoch  35/100 | Loss: 16.8393 | Early Stop Count: 5/10
Epoch  40/100 | Loss: 23.1792 | Early Stop Count: 10/10
[INFO] Converged! Early stopping triggered at epoch 40.
